Date,Close
"Mar 28, 2016",3.26
"Mar 27, 2016",3.30
"Mar 26, 2016",3.23
"Mar 25, 2016",3.23
"Mar 24, 2016",3.22
"Mar 23, 2016",3.24
"Mar 22, 2016",3.23
"Mar 21, 2016",3.20
"Mar 20, 2016",3.21
"Mar 19, 2016",3.18
"Mar 18, 2016",3.17
"Mar 17, 2016",3.31
"Mar 16, 2016",3.31
"Mar 15, 2016",3.31
"Mar 14, 2016",3.30
"Mar 13, 2016",3.31
"Mar 12, 2016",3.29
"Mar 11, 2016",3.38
"Mar 10, 2016",3.29
"Mar 09, 2016",3.28
"Mar 08, 2016",3.25
"Mar 07, 2016",3.27
"Mar 06, 2016",3.22
"Mar 05, 2016",3.19
"Mar 04, 2016",3.25
"Mar 03, 2016",3.32
"Mar 02, 2016",3.37
"Mar 01, 2016",3.43
"Feb 29, 2016",3.45
"Feb 28, 2016",3.44
"Feb 27, 2016",3.41
"Feb 26, 2016",3.42
"Feb 25, 2016",3.37
"Feb 24, 2016",3.37
"Feb 23, 2016",3.40
"Feb 22, 2016",3.48
"Feb 21, 2016",3.46
"Feb 20, 2016",3.46
"Feb 19, 2016",3.25
"Feb 18, 2016",3.25
"Feb 17, 2016",3.24
"Feb 16, 2016",3.21
"Feb 15, 2016",3.18
"Feb 14, 2016",3.21
"Feb 13, 2016",3.13
"Feb 12, 2016",3.11
"Feb 11, 2016",3.08
"Feb 10, 2016",3.10
"Feb 09, 2016",3.08
"Feb 08, 2016",3.06
"Feb 07, 2016",3.09
"Feb 06, 2016",3.10
"Feb 05, 2016",3.14
"Feb 04, 2016",3.16
"Feb 03, 2016",3.05
"Feb 02, 2016",3.08
"Feb 01, 2016",3.08
"Jan 31, 2016",3.05
"Jan 30, 2016",3.08
"Jan 29, 2016",3.11
"Jan 28, 2016",3.12
"Jan 27, 2016",3.29
"Jan 26, 2016",3.15
"Jan 25, 2016",3.13
"Jan 24, 2016",3.18
"Jan 23, 2016",3.10
"Jan 22, 2016",3.08
"Jan 21, 2016",3.22
"Jan 20, 2016",3.39
"Jan 19, 2016",3.02
"Jan 18, 2016",3.05
"Jan 17, 2016",3.03
"Jan 16, 2016",3.09
"Jan 15, 2016",3.00
"Jan 14, 2016",3.47
"Jan 13, 2016",3.48
"Jan 12, 2016",3.49
"Jan 11, 2016",3.56
"Jan 10, 2016",3.54
"Jan 09, 2016",3.56
"Jan 08, 2016",3.57
"Jan 07, 2016",3.60
"Jan 06, 2016",3.45
"Jan 05, 2016",3.47
"Jan 04, 2016",3.50
"Jan 03, 2016",3.48
"Jan 02, 2016",3.50
"Jan 01, 2016",3.51
"Dec 31, 2015",3.48
"Dec 30, 2015",3.46
"Dec 29, 2015",3.50
"Dec 28, 2015",3.47
"Dec 27, 2015",3.48
"Dec 26, 2015",3.42
"Dec 25, 2015",3.62
"Dec 24, 2015",3.64
"Dec 23, 2015",3.58
"Dec 22, 2015",3.42
"Dec 21, 2015",3.46
"Dec 20, 2015",3.54
"Dec 19, 2015",3.72
"Dec 18, 2015",3.76
"Dec 17, 2015",3.74
"Dec 16, 2015",3.70
"Dec 15, 2015",3.83
"Dec 14, 2015",3.61
"Dec 13, 2015",3.63
"Dec 12, 2015",3.61
"Dec 11, 2015",3.84
"Dec 10, 2015",3.66
"Dec 09, 2015",3.67
"Dec 08, 2015",3.69
"Dec 07, 2015",3.65
"Dec 06, 2015",3.47
"Dec 05, 2015",3.52
"Dec 04, 2015",3.36
"Dec 03, 2015",3.38
"Dec 02, 2015",3.34
"Dec 01, 2015",3.43
"Nov 30, 2015",3.62
"Nov 29, 2015",3.67
"Nov 28, 2015",3.52
"Nov 27, 2015",3.58
"Nov 26, 2015",3.61
"Nov 25, 2015",3.34
"Nov 24, 2015",3.11
"Nov 23, 2015",3.12
"Nov 22, 2015",3.14
"Nov 21, 2015",3.15
"Nov 20, 2015",3.12
"Nov 19, 2015",3.13
"Nov 18, 2015",3.19
"Nov 17, 2015",3.20
"Nov 16, 2015",3.19
"Nov 15, 2015",3.07
"Nov 14, 2015",3.19
"Nov 13, 2015",3.23
"Nov 12, 2015",3.28
"Nov 11, 2015",2.97
"Nov 10, 2015",3.12
"Nov 09, 2015",3.40
"Nov 08, 2015",3.42
"Nov 07, 2015",3.60
"Nov 06, 2015",3.55
"Nov 05, 2015",3.96
"Nov 04, 2015",4.23
"Nov 03, 2015",4.59
"Nov 02, 2015",4.16
"Nov 01, 2015",3.96
"Oct 31, 2015",3.80
"Oct 30, 2015",4.06
"Oct 29, 2015",3.78
"Oct 28, 2015",3.10
"Oct 27, 2015",3.09
"Oct 26, 2015",3.10
"Oct 25, 2015",3.07
"Oct 24, 2015",3.10
"Oct 23, 2015",3.11
"Oct 22, 2015",3.11
"Oct 21, 2015",3.08
